Laikotarpis,Rodiklis,Administracinė teritorija,Gyvenamoji vietovė,Matavimo vienetai,Reikšmė
2023,Vidutinis būsto dydis,Elektrėnų savivaldybė,Miestas ir kaimas,m²,67.7
2023,Vidutinis būsto dydis,Šalčininkų rajono savivaldybė,Miestas ir kaimas,m²,74.1
2023,Vidutinis būsto dydis,Širvintų rajono savivaldybė,Miestas ir kaimas,m²,74.2
2023,Vidutinis būsto dydis,Švenčionių rajono savivaldybė,Miestas ir kaimas,m²,69.1
2023,Vidutinis būsto dydis,Trakų rajono savivaldybė,Miestas ir kaimas,m²,79.6
2023,Vidutinis būsto dydis,Ukmergės rajono savivaldybė,Miestas ir kaimas,m²,68.7
2023,Vidutinis būsto dydis,Vilniaus miesto savivaldybė,Miestas ir kaimas,m²,64.1
2023,Vidutinis būsto dydis,Vilniaus rajono savivaldybė,Miestas ir kaimas,m²,100.2
2023,Vidutinis būsto dydis,Alytaus miesto savivaldybė,Miestas ir kaimas,m²,61.3
2023,Vidutinis būsto dydis,Alytaus rajono savivaldybė,Miestas ir kaimas,m²,80.8
2023,Vidutinis būsto dydis,Druskininkų savivaldybė,Miestas ir kaimas,m²,67.6
2023,Vidutinis būsto dydis,Lazdijų rajono savivaldybė,Miestas ir kaimas,m²,74.8
2023,Vidutinis būsto dydis,Varėnos rajono savivaldybė,Miestas ir kaimas,m²,68.9
2023,Vidutinis būsto dydis,Birštono savivaldybė,Miestas ir kaimas,m²,73.7
2023,Vidutinis būsto dydis,Jonavos rajono savivaldybė,Miestas ir kaimas,m²,63.2
2023,Vidutinis būsto dydis,Kaišiadorių rajono savivaldybė,Miestas ir kaimas,m²,76.2
2023,Vidutinis būsto dydis,Kauno miesto savivaldybė,Miestas ir kaimas,m²,65.7
2023,Vidutinis būsto dydis,Kauno rajono savivaldybė,Miestas ir kaimas,m²,89.3
2023,Vidutinis būsto dydis,Kėdainių rajono savivaldybė,Miestas ir kaimas,m²,66.8
2023,Vidutinis būsto dydis,Prienų rajono savivaldybė,Miestas ir kaimas,m²,77.7
2023,Vidutinis būsto dydis,Raseinių rajono savivaldybė,Miestas ir kaimas,m²,72.7
2023,Vidutinis būsto dydis,Klaipėdos miesto savivaldybė,Miestas ir kaimas,m²,58.3
2023,Vidutinis būsto dydis,Klaipėdos rajono savivaldybė,Miestas ir kaimas,m²,93.9
2023,Vidutinis būsto dydis,Kretingos rajono savivaldybė,Miestas ir kaimas,m²,84.9
2023,Vidutinis būsto dydis,Neringos savivaldybė,Miestas ir kaimas,m²,62.9
2023,Vidutinis būsto dydis,Palangos miesto savivaldybė,Miestas ir kaimas,m²,73.4
2023,Vidutinis būsto dydis,Skuodo rajono savivaldybė,Miestas ir kaimas,m²,79.6
2023,Vidutinis būsto dydis,Šilutės rajono savivaldybė,Miestas ir kaimas,m²,73.6
2023,Vidutinis būsto dydis,Kalvarijos savivaldybė,Miestas ir kaimas,m²,71.2
2023,Vidutinis būsto dydis,Kazlų Rūdos savivaldybė,Miestas ir kaimas,m²,69.1
2023,Vidutinis būsto dydis,Marijampolės savivaldybė,Miestas ir kaimas,m²,71.1
2023,Vidutinis būsto dydis,Marijampolės rajono savivaldybė,Miestas ir kaimas,m²,
2023,Vidutinis būsto dydis,Šakių rajono savivaldybė,Miestas ir kaimas,m²,76.1
2023,Vidutinis būsto dydis,Vilkaviškio rajono savivaldybė,Miestas ir kaimas,m²,71.8
2023,Vidutinis būsto dydis,Biržų rajono savivaldybė,Miestas ir kaimas,m²,75.7
2023,Vidutinis būsto dydis,Kupiškio rajono savivaldybė,Miestas ir kaimas,m²,73.6
2023,Vidutinis būsto dydis,Panevėžio miesto savivaldybė,Miestas ir kaimas,m²,60.8
2023,Vidutinis būsto dydis,Panevėžio rajono savivaldybė,Miestas ir kaimas,m²,77.6
2023,Vidutinis būsto dydis,Pasvalio rajono savivaldybė,Miestas ir kaimas,m²,74.5
2023,Vidutinis būsto dydis,Rokiškio rajono savivaldybė,Miestas ir kaimas,m²,69.3
2023,Vidutinis būsto dydis,Akmenės rajono savivaldybė,Miestas ir kaimas,m²,63.6
2023,Vidutinis būsto dydis,Joniškio rajono savivaldybė,Miestas ir kaimas,m²,70.9
2023,Vidutinis būsto dydis,Kelmės rajono savivaldybė,Miestas ir kaimas,m²,71.2
2023,Vidutinis būsto dydis,Pakruojo rajono savivaldybė,Miestas ir kaimas,m²,70.9
2023,Vidutinis būsto dydis,Radviliškio rajono savivaldybė,Miestas ir kaimas,m²,67.3
2023,Vidutinis būsto dydis,Šiaulių miesto savivaldybė,Miestas ir kaimas,m²,61
2023,Vidutinis būsto dydis,Šiaulių rajono savivaldybė,Miestas ir kaimas,m²,82.1
2023,Vidutinis būsto dydis,Jurbarko rajono savivaldybė,Miestas ir kaimas,m²,72.9
2023,Vidutinis būsto dydis,Pagėgių savivaldybė,Miestas ir kaimas,m²,72.6
2023,Vidutinis būsto dydis,Šilalės rajono savivaldybė,Miestas ir kaimas,m²,76
2023,Vidutinis būsto dydis,Tauragės rajono savivaldybė,Miestas ir kaimas,m²,73.5
2023,Vidutinis būsto dydis,Mažeikių rajono savivaldybė,Miestas ir kaimas,m²,68.4
2023,Vidutinis būsto dydis,Plungės rajono savivaldybė,Miestas ir kaimas,m²,78.3
2023,Vidutinis būsto dydis,Rietavo savivaldybė,Miestas ir kaimas,m²,78.2
2023,Vidutinis būsto dydis,Telšių rajono savivaldybė,Miestas ir kaimas,m²,71.8
2023,Vidutinis būsto dydis,Anykščių rajono savivaldybė,Miestas ir kaimas,m²,73.9
2023,Vidutinis būsto dydis,Ignalinos rajono savivaldybė,Miestas ir kaimas,m²,71.7
2023,Vidutinis būsto dydis,Molėtų rajono savivaldybė,Miestas ir kaimas,m²,76.3
2023,Vidutinis būsto dydis,Utenos rajono savivaldybė,Miestas ir kaimas,m²,69.6
2023,Vidutinis būsto dydis,Visagino savivaldybė,Miestas ir kaimas,m²,52
2023,Vidutinis būsto dydis,Zarasų rajono savivaldybė,Miestas ir kaimas,m²,69
