Laikotarpis,Rodiklis,Administracinė teritorija,Teršalai,Matavimo vienetai,Reikšmė
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Elektrėnų savivaldybė,Visi teršalai,tonos,847.49
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Šalčininkų rajono savivaldybė,Visi teršalai,tonos,87.14
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Širvintų rajono savivaldybė,Visi teršalai,tonos,205.23
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Švenčionių rajono savivaldybė,Visi teršalai,tonos,137.74
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Trakų rajono savivaldybė,Visi teršalai,tonos,123.35
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Ukmergės rajono savivaldybė,Visi teršalai,tonos,402
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Vilniaus miesto savivaldybė,Visi teršalai,tonos,4266.62
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Vilniaus rajono savivaldybė,Visi teršalai,tonos,800.21
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Alytaus miesto savivaldybė,Visi teršalai,tonos,559.81
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Alytaus rajono savivaldybė,Visi teršalai,tonos,198.01
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Druskininkų savivaldybė,Visi teršalai,tonos,269.48
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Lazdijų rajono savivaldybė,Visi teršalai,tonos,80.07
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Varėnos rajono savivaldybė,Visi teršalai,tonos,142.57
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Birštono savivaldybė,Visi teršalai,tonos,37.76
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Jonavos rajono savivaldybė,Visi teršalai,tonos,2166.57
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kaišiadorių rajono savivaldybė,Visi teršalai,tonos,505.95
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kauno miesto savivaldybė,Visi teršalai,tonos,4181
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kauno rajono savivaldybė,Visi teršalai,tonos,629.72
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kėdainių rajono savivaldybė,Visi teršalai,tonos,694
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Prienų rajono savivaldybė,Visi teršalai,tonos,82.69
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Raseinių rajono savivaldybė,Visi teršalai,tonos,206.32
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Klaipėdos miesto savivaldybė,Visi teršalai,tonos,2525.61
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Klaipėdos rajono savivaldybė,Visi teršalai,tonos,775.46
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kretingos rajono savivaldybė,Visi teršalai,tonos,114.83
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Neringos savivaldybė,Visi teršalai,tonos,21.21
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Palangos miesto savivaldybė,Visi teršalai,tonos,133.87
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Skuodo rajono savivaldybė,Visi teršalai,tonos,32.48
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Šilutės rajono savivaldybė,Visi teršalai,tonos,400.91
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kalvarijos savivaldybė,Visi teršalai,tonos,71.98
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kazlų Rūdos savivaldybė,Visi teršalai,tonos,472.9
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Marijampolės savivaldybė,Visi teršalai,tonos,720.44
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Šakių rajono savivaldybė,Visi teršalai,tonos,98.71
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Vilkaviškio rajono savivaldybė,Visi teršalai,tonos,79.06
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Biržų rajono savivaldybė,Visi teršalai,tonos,217.75
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kupiškio rajono savivaldybė,Visi teršalai,tonos,175.72
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Panevėžio miesto savivaldybė,Visi teršalai,tonos,1646.76
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Panevėžio rajono savivaldybė,Visi teršalai,tonos,363.16
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Pasvalio rajono savivaldybė,Visi teršalai,tonos,297.99
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Rokiškio rajono savivaldybė,Visi teršalai,tonos,628.25
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Akmenės rajono savivaldybė,Visi teršalai,tonos,4091.99
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Joniškio rajono savivaldybė,Visi teršalai,tonos,120.33
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Kelmės rajono savivaldybė,Visi teršalai,tonos,141.27
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Pakruojo rajono savivaldybė,Visi teršalai,tonos,164.34
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Radviliškio rajono savivaldybė,Visi teršalai,tonos,491.47
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Šiaulių miesto savivaldybė,Visi teršalai,tonos,1218.54
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Šiaulių rajono savivaldybė,Visi teršalai,tonos,443.06
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Jurbarko rajono savivaldybė,Visi teršalai,tonos,199.87
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Pagėgių savivaldybė,Visi teršalai,tonos,10.72
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Šilalės rajono savivaldybė,Visi teršalai,tonos,199.54
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Tauragės rajono savivaldybė,Visi teršalai,tonos,198.28
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Mažeikių rajono savivaldybė,Visi teršalai,tonos,16218.94
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Plungės rajono savivaldybė,Visi teršalai,tonos,460.23
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Rietavo savivaldybė,Visi teršalai,tonos,237.04
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Telšių rajono savivaldybė,Visi teršalai,tonos,658.25
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Anykščių rajono savivaldybė,Visi teršalai,tonos,275.23
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Ignalinos rajono savivaldybė,Visi teršalai,tonos,146.67
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Molėtų rajono savivaldybė,Visi teršalai,tonos,194.77
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Utenos rajono savivaldybė,Visi teršalai,tonos,543.48
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Visagino savivaldybė,Visi teršalai,tonos,542.46
2023,"Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",Zarasų rajono savivaldybė,Visi teršalai,tonos,129.29
